Vendor Name,Vendor Code,Location,Vendor Type,E-waste certified,Contracted
Dotline Informatics Private Limited,dotel,,B2B,No,No
Proton Solutions,prosol,,B2B,No,Yes
New Kalyani Mobiles,kalmob,,B2B,No,No
Jay Balaji Services,jabal,,B2B,No,No
Anand Multiservices,anand,,B2B,No,No
Hi Tech Computer Lab,hitec888,,B2B,No,No
Yash Technoworld,yashtech,,B2B,No,No
My Mobile Shoppy,mymob,,B2B,Yes,No
Shri Rajendra Tele Mobiles,shriraj,,B2B,No,No
New Koyna Mobile,newko,,B2B,No,No
Mobile Mart,mobmar,,B2B,No,No
Coolking Enterprises,coolk,,B2B,No,No
Saraswati Enterprises,sarent,,B2B,No,No
M/S Maan Communication,maancom,,B2B,No,No
A1computers,a1com,,B2B,No,No
S B Computers,sbcoms,,B2B,No,No
Cooling Solution,cooling,,B2B,No,No
W M G Risk Advisory And Insurance,rajeshbus,,B2B,No,No
Kshatriya Electronics,kshat,,B2B,No,No
Digitalworld,digiworld,,B2B,No,No
Shri Poorna Electronics,shriele,,B2B,No,No
Medhini Enterprises,medhinie,,B2B,No,No
V S Enterprises,vsent,,B2B,No,No
M/S. Haryana Handloom House,harhou,,B2B,No,No
Jay Services,jayser,,B2B,No,No
Aggarwal Computers (India),agcom,,B2B,No,No
Nice Computer Service,nicecom,,B2B,No,No
Noble Automobiles,noble,,B2B,No,No
The M Store,thmst,,B2B,No,No
Shan Enterprise,shaente,,B2B,No,No
Anna Infotech,aninfo,,B2B,No,No
Formatech Consultancy,pharmatech,,B2B,No,No
All In One,allin,,B2B,No,No
Friends Club,friendc,,B2B,No,No
Rr One Solution,rrone,,B2B,No,No
R G S Commitment,rgscomm,,B2B,No,No
New Global Computers,newglob,,B2B,No,No
Planet World,planet,,B2B,No,No
I Green Technologies,igreen,,B2B,No,No
Om Tech,omtech,,B2B,No,No
Outer Shell,outers,,B2B,No,No
Kgn Marketing,kgnmar,,B2B,No,No
Cables  Cables,cables,,B2B,No,No
Marhabah Refrigeration,marhabah,,B2B,No,No
Trust Cooling System,trustc,,B2B,No,No
Sq Collection,sqcoll,,B2B,No,No
Proinfy Turnkey Solution,proinfy,,B2B,No,No
Computer Sky It Consultancy Pvt Ltd,compsky,,B2B,No,No
Shree Shyam Enterprises,shyame,,B2B,No,No
City Mobile Centre,citym,,B2B,No,No
N K Steels,nksteel,,B2B,No,No
Maharaja Shoes,mahasho,,B2B,No,No
M/S Computer Zeal,compzeal,,B2B,No,No
Max Mobile Store,maxmob,,B2B,No,No
Css Infosys,cssinfo,,B2B,No,No
Gaurav Communication,gauravc,,B2B,No,No
Omkar Communication,omkarcom,,B2B,No,No
Mobile Point,mobpoint,,B2B,No,No
Compurers World,comworld,,B2B,No,No
Sure Image Cartridges,sureim,,B2B,No,No
Choice Foot Wear,choicef,,B2B,No,No
Chief Refgration Industry,chiefr,,B2B,No,No
Mangesh Mobile,mangeshm,,B2B,No,No
Maya Infotech,maya,,B2B,No,No
Mysmartbuy,razak,,B2B,No,No
S R Infotech,infotech,,B2B,No,No
Smart Technologies,samrat,,B2B,No,No
Sanbay Networks,sanbay,,B2B,No,No
Sri Sai Krish,srisaikrish,,B2B,No,No
Parshva Infotech,parshi,,B2B,No,No
Amit Trading Co,amitt,,B2B,No,No
M/S Gauri Mobile,gaurim,,B2B,No,No
Goloka Enterprises,goloka,,B2B,No,No
S M Tradelink,bundela,,B2B,No,No
Konnection A Mobile Shopee,konnectio,,B2B,No,No
Info System Services,infos,,B2B,No,No
Maryam Infotech,marya,,B2B,No,No
Vishnu Enterprises,bavanasikiran,,B2B,No,No
Sajni Enterprise,sajnie,,B2B,No,No
Sai General Store,gener ,,B2B,No,No
Nine Dots Printer Service,nined,,B2B,No,No
Radhe Computer,radhecom1,,B2B,No,No
Ambrit Exclusive,ambrite,,B2B,No,No
Eukleia Technologies Private Limited,eukleia,,B2B,No,No
Computer World,compw,,B2B,No,No
Sri M M Mobile Electronic,mmobile,,B2B,No,No
Rajeshwar Mobile,rajmob,,B2B,No,No
M/S The Computer Men,compmen,,B2B,No,No
Hamza Mobile Zone,hammza,,B2B,No,No
New Mobile Care,newmobc,,B2B,No,No
Narmada Computers,narmada,,B2B,No,No
Pointer Informetics,pointer,,B2B,No,No
Guideround Computers,guideround,,B2B,No,No
Zakeera Mob Accessiors,zakee,,B2B,No,No
A B Computers,abcomp,,B2B,No,No
Millennium Cellulars,millcell,,B2B,No,No
Shri Siddhivinayak Electronics,sidde,,B2B,No,No
Shamal Computers,shamal,,B2B,No,No
J.D.Traders,jdtrad,,B2B,No,No
Shiv Trading Company,shivtrad,,B2B,No,No
Kundali Computer,kundali,,B2B,No,No
J. K. Corporation,jkcorp,,B2B,No,No
New Shreeram Electronics And Electrical,newselec,,B2B,No,No
Heera Panna Communication Private Limited,heera,,B2B,No,No
Navrang Collection,navcoll,,B2B,No,No
Royal Conputers,royac,,B2B,No,No
Aditya Enterprise,adient,,B2B,No,No
Raj Enterprises,rajents,,B2B,No,No
Natraj Infotech Pvt Ltd,natri,,B2B,No,No
Tulsi Computer,tulasicom,,B2B,No,No
Choice Footwear,choicefoot,,B2B,No,No
Singh Enterprises,sinet,,B2B,No,No
Meena Eletronics,meenae,,B2B,No,No
D K Enterprises,dkent,,B2B,No,No
H Joshi Brothers Sales Pvt Ltd,hjosh,,B2B,No,No
Amma Computers,ammacomputers,,B2B,No,No
Bhagyoday Infotech,bhagi,,B2B,No,No
Devlok Distributors,devld,,B2B,No,No
Prabhat Enterprises,prabe,,B2B,No,No
Trimurti Home Applinces,trimu,,B2B,No,No
Katariya Konnections,Katariya,,B2B,No,No
Samudra Homes,samhome,,B2B,No,No
Damawale & Sons,damsons,,B2B,No,No
Dreams Computers,dreams,,B2B,No,No
Login Computers,logincom,,B2B,No,No
Srinivasam Infra,ranjit_k,,B2B,No,No
Balaji Computer,balac,,B2B,No,No
B Link E Solutions,blinke,,B2B,No,No
Classic Mobile Sales And Service,classm,,B2B,No,No
Rohini Electronics,rohie,,B2B,No,No
Ms Enterprises,msent,,B2B,No,No
Shree Kushna Electronic,shreekushna,,B2B,No,No
Friends It Solution,frienn,,B2B,No,No
B.K.Shoes,bkshoes,,B2B,No,No
Jai Bhavani Plywood,jaibha,,B2B,No,No
Motiwalass,motiwa,,B2B,No,No
Archana Computers And Laptops,archana,,B2B,No,No
Friends Computers,frien99,,B2B,No,No
Sai Pooja Enterprises,saipo,,B2B,No,No
Vedant Footwear,vedant,,B2B,No,No
Vansh Telecom,vansh,,B2B,No,No
Laptop World,laptopworld,,B2B,No,No
Maa Narmada Computer,maanc,,B2B,No,No
Paras Pulses,hjain,,B2B,No,No
Driplex Engineer,dripe,,B2B,No,No
S R Computers & Networks,srcom,,B2B,No,No
Swastik Mobile,swasm,,B2B,No,No
Communication  World,commw,,B2B,No,No
Nano Tech Seles Andservices,nanot,,B2B,No,No
Mobile Style,mobyl,,B2B,No,No
Sairam Designer,saide,,B2B,No,No
Shri Krishna Electronics,shrik,,B2B,No,No
Jain Mobile Sale Service,jainm,,B2B,No,No
Suhoil Enterprises,suhoe,,B2B,No,No
New Cell 4 You,newc4,,B2B,No,No
Rupam Telicom,rupat,,B2B,No,No
Subhalakshmi Computers,subhc,,B2B,No,No
Mehboob Disposal Stores,mehbd,,B2B,No,No
Ambika Computers,ambic,,B2B,No,No
Computer Shoppe,comp3,,B2B,No,No
Extreme Computers,extreme,,B2B,No,No
Chudhary Infocom Solution,chaudh,,B2B,No,No
J.S Pigments Pvt Ltd,jspigm,,B2B,No,No
Magic Collection,magic,,B2B,No,No
Jmd Infotech,jmdin,,B2B,No,No
Mayur Infotech,mayin,,B2B,No,No
Tech Lounge,techloun,,B2B,No,No
Pooja Air Con,pooja2,,B2B,No,No
Samarth Computer Sales And Services,samac,,B2B,No,No
Shree Sanganak,shres,,B2B,No,No
Vinayak Computers,vinayakco,,B2B,No,No
Impression Computer Services,imprc,,B2B,No,No
Kesavam Tech World Pvt Ltd,kesavam,,B2B,No,No
Unique Air Conditioning Service,uniquea,,B2B,No,No
Shiva Steel Udyog,shivs,,B2B,No,No
Prakhar Marketing,prakh,,B2B,No,No
New Prajakta Boot House,newpboot,,B2B,No,No
Creation Enterprises,creay,,B2B,No,No
S M Enterprises,sment,,B2B,No,No
Gait Technologies,gaitt,,B2B,No,No
New Sairaj Computers,new11,,B2B,No,No
Namo E Waste Management Limited,namoew,,B2B,No,No
Namo Overseas,namoov,,B2B,No,No
Crome Computers,crome,,B2B,No,No
Nice Communication,nice9,,B2B,No,No
K R S Systems,ksystems,,B2B,No,No
Mohiniraj Enterprises,mohin,,B2B,No,No
Sadashiv Enterprise,sada7,,B2B,No,No
Shree Vinayak Infotech,shre4,,B2B,No,No
Crown Services,crowns,,B2B,No,No
Compustores,comp9,,B2B,No,No
Horizon Computers,horiz,,B2B,No,No
K Sons,ksons,,B2B,No,No
Ultra  Peripherals  Pvt  Ltd ,ultr8,,B2B,No,No
Priya Computer Solution,pcsolutions,,B2B,No,No
Shree Mahalakshmi Home Appliance,shree0,,B2B,No,No
Poorve Computers,poor2,,B2B,No,No
Gateway Computers And Clectronics,gcelectronics,,B2B,No,No
Sony Enterprises,sony5,,B2B,No,No
Disha Enterprises,dishaent,,B2B,No,No
Mangla Sales Corporation,lokesh_m,,B2B,No,No
India Business Angels,indiabul,,B2B,No,No
As Enterprises,asenterprises,,B2B,No,No
Krishna Agency,Krishnag,,B2B,No,No
