Category L1,Category L2,Category L3,Category L4,Category L5,Category L6,Category Code
Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,CC1
Electronics and Appliances,Home Appliances,Air conditioner,Others,,,CC2
Electronics and Appliances,Home Appliances,Air conditioner,Split AC Full Set indoor and outdoor,,,CC3
Electronics and Appliances,Home Appliances,Air conditioner,Split AC indoor unit,,,CC4
Electronics and Appliances,Home Appliances,Air conditioner,Split AC Outdoor unit,,,CC5
Electronics and Appliances,Home Appliances,Air conditioner,Window AC,,,CC6
Electronics and Appliances,Home Appliances,Air Cooler,,,,CC7
Electronics and Appliances,Home Appliances,Camcorder,,,,CC8
Electronics and Appliances,Home Appliances,Ceiling Fan,,,,CC9
Electronics and Appliances,Home Appliances,Digital Camera,,,,CC10
Electronics and Appliances,Home Appliances,DVD Player,,,,CC11
Electronics and Appliances,Home Appliances,Electric Iron,,,,CC12
Electronics and Appliances,Home Appliances,Home Theatre,,,,CC13
Electronics and Appliances,Home Appliances,ipod,,,,CC14
Electronics and Appliances,Home Appliances,MP3 Player,,,,CC15
Electronics and Appliances,Home Appliances,Music system,,,,CC16
Electronics and Appliances,Home Appliances,Others,,,,CC17
Electronics and Appliances,Home Appliances,Room heater,,,,CC18
Electronics and Appliances,Home Appliances,Sewing machine,,,,CC19
Electronics and Appliances,Home Appliances,Spares Home appliances,,,,CC20
Electronics and Appliances,Home Appliances,Speaker,,,,CC21
Electronics and Appliances,Home Appliances,Table Fan,,,,CC22
Electronics and Appliances,Home Appliances,Television,,,,CC23
Electronics and Appliances,Home Appliances,Vaccum Cleaner,,,,CC24
Electronics and Appliances,Home Appliances,Video or PC Game Accessories,,,,CC25
Electronics and Appliances,Home Appliances,Video or PC Game CD or DVD,,,,CC26
Electronics and Appliances,Home Appliances,Video or PC Game Others,,,,CC27
Electronics and Appliances,Home Appliances,Video or PC Game Player,,,,CC28
Electronics and Appliances,Home Appliances,Washing Machine,,,,CC29
Electronics and Appliances,Home Appliances,Water heater,,,,CC30
Electronics and Appliances,Kitchen appliances,Accessories Kitchen appliances,,,,CC31
Electronics and Appliances,Kitchen appliances,Electric Chimney,,,,CC32
