Type,Attribute reason,Attribute Label,Attribute Type (text/select/multiselect),Attribute Options,Comment,is_active,Frame
Base Attributes,Tracking,Seller,hidden,Seller.all,Can also be autofill if Seller code selected,FALSE,2
Base Attributes,Tracking,Seller Code,hidden,Seller.all,Can also be autofill if Seller selected,FALSE,2
Base Attributes,Tracking,Request date,hidden,,,TRUE,2
Base Attributes,Tracking,Request ID,hidden,,,TRUE,2
Base Attributes,Tracking,Consignment ID,hidden,,,TRUE,2
Base Attributes,Tracking,Consignment receipt Date,hidden,,,TRUE,2
Base Attributes,Tracking,Box Number,hidden,alphanumeric,,TRUE,2
Base Attributes,Tracking,Inward document number (Invoice or DC),hidden,alphanumeric,,TRUE,2
Base Attributes,Tracking,City,hidden,City.all,A city master needs to be made for major cities,FALSE,2
Base Attributes,General,Inward date,hidden,,,TRUE,2
Base Attributes,General,Inward executive,hidden,User.all,Give an others option to input for new employees not yet updated in master. Can also be autofill if Inward executive Emp ID selected,FALSE,2
Base Attributes,General,Inward executive Emp ID,hidden,User.all,Give an others option to input for new employees not yet updated in master. Can also be autofill if Inward executive selected,TRUE,2
Base Attributes,Identification,Tag Number,text,alphanumeric,,TRUE,2
Base Attributes,Identification,Inventory ID,text,alphanumeric,,FALSE,2
Base Attributes,Identification,SKU Code,Auto generated,Seller Master,,FALSE,2
Base Attributes,Identification,SKU Description,Auto generated,Seller Master,,FALSE,2
Base Attributes,Identification,Brand,text,alphanumeric,,TRUE,2
Base Attributes,Identification,Model,text,alphanumeric,,TRUE,2
Base Attributes,Identification,Sub-Model/ Variant,text,alphanumeric,,TRUE,2
Base Attributes,Price,MRP (in INR),text,number,,TRUE,2
Base Attributes,Price,Least Available price (in INR),text,number,,TRUE,2
Base Attributes,Feature & specification,Unit packaging,select,"Individual, Set",,TRUE,2
Base Attributes,Feature & specification,Set Size,text,number,,TRUE,2
Base Attributes,General,Quantity,text,number,,TRUE,2
Base Attributes,Feature & specification,Year of Manufacture,Year,,,TRUE,2
Base Attributes,Feature & specification,Warranty status,select,"No warranty,1 month warranty,3 month warranty,6 month warranty,1 year warranty",Give an others option to input any uncommon warranty period not in select option,TRUE,2
Base Attributes,Tracking,Client SKU Code,text,alphanumeric,,FALSE,2
Base Attributes,Condition,Remarks,text,alphanumeric,,TRUE,3
Base Attributes,Tracking,Storage Location,text,alphanumeric,,TRUE,1
Base Attributes,Tracking,Storage sub-location,text,alphanumeric,,TRUE,1
Base Attributes,General,Test date,date,,,TRUE,3
Base Attributes,General,Test executive,hidden,User.all,Give an others option to input for new employees not yet updated in master,TRUE,3
Base Attributes,Condition,Functional status,select,"Fully Functional, Power on test only, Functional with minor defects, Not tested (seal packed), Not tested, NA, Defective",,TRUE,3
Base Attributes,Condition,Physical status,select,"Like New; Minor dents, scratches or color fading; Major dents, scratches or color fading; Major damages; Broken or Damaged; Not tested (seal packed)",,TRUE,3
Base Attributes,Condition,Packaging status,select,"Seal Packed, Like new Original, Like new Others, Minor wear & tear Original, Minor wear & tear others, Major damages Original, Major damages others, Damaged, Not Packed",,TRUE,3
Base Attributes,Condition,Saleable status,select,"Saleable, Pending for Audit",,TRUE,3
Base Attributes,Condition,Grade,Auto generated,Will provide excel formulae,,TRUE,3
Base Attributes,General,QC Sampled,select,"Yes, No",,TRUE,4
Base Attributes,General,QC date,date,,,TRUE,4
Base Attributes,General,QC executive,hidden,User.all,Give an others option to input for new employees not yet updated in master,TRUE,4
Base Attributes,General,QC status,select,"Passed, Failed",,TRUE,4
Base Attributes,General,Stowing date,date,,,TRUE,4
Base Attributes,General,Stowing executive,hidden,User.all,Give an others option to input for new employees not yet updated in master,TRUE,4
Base Attributes,General,Action Status,text,,,TRUE,5
Base Attributes,General,Lot name,text,alphanumeric,,TRUE,5
Base Attributes,Tracking,Reserve date,date,,,TRUE,5
Base Attributes,Tracking,Outward date,date,,,TRUE,5
Base Attributes,Tracking,Outward document number,text,alphanumeric,,TRUE,5
Base Attributes,Price,Sales Price,text,number,,TRUE,5
Base Attributes,Tracking,Outward party,select,Buyer Master,,TRUE,5
Base Attributes,Tracking,Outward reason,text,alphanumeric,,TRUE,5
Item attribute,Identification,Item detail,text,alphanumeric,,TRUE,2
Item attribute,Feature & specification,Compatible SKU Node,text,alphanumeric,,TRUE,2
Item attribute,Feature & specification,Compatible SKU Node Brand,text,alphanumeric,,TRUE,2
Item attribute,Feature & specification,Compatible SKU Node Model,text,alphanumeric,,TRUE,2
Item attribute,Identification,Part Number,text,alphanumeric,,TRUE,2
Item attribute,Identification,Serial Number 1,text,alphanumeric,,TRUE,2
Item attribute,Identification,Serial Number 2,text,alphanumeric,,TRUE,2
Item attribute,Feature & specification,Capacity,text,float,,TRUE,2
Item attribute,Feature & specification,Power Rating,text,number,,TRUE,2
Item attribute,Feature & specification,Power (Watts),text,number,,TRUE,2
Item attribute,Feature & specification,Number of Blades,text,number,,TRUE,2
Item attribute,Feature & specification,Length of Blades,text,float,,TRUE,2
