Parent Category Name(L1),Category Name (L2),Sub Category Name (L3),SubSubCategoryName (L4),Sub Category Name (L5),Sub Category Name (L6),BB Category File,Item detail,Compatible SKU Node,Compatible SKU Node Brand,Compatible SKU Node Model,Part Number,Serial Number 1,Serial Number 2,Capacity,Power Rating,Power (Watts),Number of Blades,Length of Blades,Color,Resolution in Mega Pixel,Optical Zoom,Number of speakers,"Connectivity Compatibility (Internet, Bluetooth, USB)",Storage (in GB),HDD (in GB),SSD (in GB),RAM (in GB),Resolution in (AXB),Back Camera Resolution (in MP),Front Camera Resolution (in MP),Music Playback time,Processor (IT),Processor (Mobile & Tablet),OS,OS Sticker,Screen Size (in Inches),Age Group,Type of Fabric,Fitting Apparel,Pattern Apparel,Size,Sleeve,Weight,Volume or Capacity (in ml),Power output (in watts) Speaker,Sound output Range (in Hz) Speaker,Type Television,Blower function,Suction Power (in watts),Type of Washing Machine Function,Type of Wshing Machine Load,Type of Washing Machine Washing,Washing System,Flavour,Functions Printer,Device chipset projector,Distance (in mtrs) Projector,Lamp life (in hours) Projector,Maximum Brightness (in lm) Projector,Resolution,Back up (in mins) UPS,Battery UPS,Type of cooking Microwave,Number of doors (Refrigerator),Type of Sandwitch,Capacity (in number),Type of technology Water Purifier,Fragarance,Material,Size Furniture,Number of Jars,Expiry Date,Number of HDD
Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,default,11,11,11,11,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Home Appliances,Air conditioner,Others,,,default,11,,,,,1,1,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Home Appliances,Air conditioner,Split AC Full Set indoor and outdoor,,,default,,,,,,1,1,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Home Appliances,Air conditioner,Split AC indoor unit,,,default,,,,,,1,1,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Home Appliances,Air conditioner,Split AC Outdoor unit,,,default,,,,,,1,1,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Home Appliances,Air conditioner,Window AC,,,default,,,,,,1,1,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Home Appliances,Air Cooler,,,,default,,,,,,1,1,11,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Home Appliances,Camcorder,,,,default,,,,,,1,1,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Home Appliances,Ceiling Fan,,,,default,,,,,,1,1,,,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Home Appliances,Digital Camera,,,,default,,,,,,1,1,,,,,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Home Appliances,DVD Player,,,,default,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
