Client Category L1,Client Category L2,Client Category L3,Category L1,Category L2,Category L3,Category L4,Category L5,Category L6,Bmaxx Parent,Bmaxx Child
Large Appliances,Air Conditioners,AC Split,Electronics and Appliances,Home Appliances,Air conditioner,Split AC Full Set indoor and outdoor,,,Mobiles and Tablets,Mobile
Large Appliances,Air Conditioners,AC Window,Electronics and Appliances,Home Appliances,Air conditioner,Window AC,,,Mobiles and Tablets,Mobile
Large Appliances,Dummies,Dummies Split AC,Others,,,,,,Mobiles and Tablets,Mobile
Large Appliances,Dishwashers,Dishwashers,Electronics and Appliances,Kitchen appliances,Others,,,,Mobiles and Tablets,Mobile
Large Appliances,Microwaves,Microwaves Solo,Electronics and Appliances,Kitchen appliances,Microwave,,,,Mobiles and Tablets,Mobile
Large Appliances,Microwaves,Microwaves Accessories,Electronics and Appliances,Kitchen appliances,Accessories Kitchen appliances,,,,Mobiles and Tablets,Mobile
Large Appliances,Refrigerators,Refrigerator Direct Cool <300L,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,Mobiles and Tablets,Mobile
Large Appliances,Refrigerators,Wine Cellar's,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,Mobiles and Tablets,Mobile
Large Appliances,Refrigerators,Refrigerator Frost Free <300L,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,Mobiles and Tablets,Mobile
Large Appliances,Refrigerators,Refrigerator Side By Side,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,Mobiles and Tablets,Mobile
Large Appliances,Washing Machines,WM Top Loaders,Electronics and Appliances,Home Appliances,Washing Machine,,,,Mobiles and Tablets,Mobile
Large Appliances,Washing Machines,WM Semi Automatic,Electronics and Appliances,Home Appliances,Washing Machine,,,,Mobiles and Tablets,Mobile
Large Appliances,Washing Machines,Washer Dryer Combi,Electronics and Appliances,Home Appliances,Washing Machine,,,,Mobiles and Tablets,Mobile
Large Appliances,Dryers,Dryers,Electronics and Appliances,Home Appliances,Washing Machine,,,,Mobiles and Tablets,Mobile
Large Appliances,Microwaves,Microwaves Convection,Electronics and Appliances,Kitchen appliances,Microwave,,,,Mobiles and Tablets,Mobile
Large Appliances,Microwaves,Microwaves Grill,Electronics and Appliances,Kitchen appliances,Microwave,,,,Mobiles and Tablets,Mobile
Large Appliances,Washing Machines,WM Front Loaders,Electronics and Appliances,Home Appliances,Washing Machine,,,,Mobiles and Tablets,Mobile
Large Appliances,Refrigerators,Refrigerator Deep Freezer,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,Mobiles and Tablets,Mobile
Large Appliances,Air Conditioners,Portable Air Conditioners,Electronics and Appliances,Home Appliances,Air conditioner,Others,,,Mobiles and Tablets,Mobile
Large Appliances,Air Conditioners,Air Conditioner Accesories Kit,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Large Appliances,Refrigerators,Refrigerator Kits,Electronics and Appliances,Kitchen appliances,Accessories Kitchen appliances,,,,Mobiles and Tablets,Mobile
Large Appliances,Refrigerators,Refrigerator Frost Free >400L,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,Mobiles and Tablets,Mobile
Large Appliances,Refrigerators,Refrigerator Consignment,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,Mobiles and Tablets,Mobile
Large Appliances,Air Conditioners,ExWty- Air Conditioners,Electronics and Appliances,Home Appliances,Air conditioner,Others,,,Mobiles and Tablets,Mobile
Large Appliances,Dishwashers,ExWty- Dishwashers,Electronics and Appliances,Kitchen appliances,Others,,,,Mobiles and Tablets,Mobile
Large Appliances,Microwaves,ExWty- Microwaves,Electronics and Appliances,Kitchen appliances,Microwave,,,,Mobiles and Tablets,Mobile
Large Appliances,Refrigerators,ExWty- Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,Mobiles and Tablets,Mobile
Large Appliances,Washing Machines,ExWty- Washing Machines,Electronics and Appliances,Home Appliances,Washing Machine,,,,Mobiles and Tablets,Mobile
Large Appliances,Dryers,ExWty- Dryers,Electronics and Appliances,Home Appliances,Washing Machine,,,,Mobiles and Tablets,Mobile
Large Appliances,Washing Machines,Washing Machine Consignment,Electronics and Appliances,Home Appliances,Washing Machine,,,,Mobiles and Tablets,Mobile
Large Appliances,Washing Machines,Washing Machine Kits,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Large Appliances,Dummies,Dummies Washing Machines,Others,,,,,,Mobiles and Tablets,Mobile
Large Appliances,Dryers,Dryer Consignment,Electronics and Appliances,Home Appliances,Washing Machine,,,,Mobiles and Tablets,Mobile
Large Appliances,Dishwashers,Dishwasher Consignment,Electronics and Appliances,Kitchen appliances,Others,,,,Mobiles and Tablets,Mobile
Large Appliances,Air Conditioners,Stabilizer,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Large Appliances,Air Conditioners,Tower AC,Electronics and Appliances,Home Appliances,Air conditioner,Others,,,Mobiles and Tablets,Mobile
Large Appliances,Air Conditioners,Invertor AC,Electronics and Appliances,Home Appliances,Air conditioner,Split AC Full Set indoor and outdoor,,,Mobiles and Tablets,Mobile
Large Appliances,Air Conditioners,Cassette AC,Electronics and Appliances,Home Appliances,Air conditioner,Others,,,Mobiles and Tablets,Mobile
Large Appliances,Refrigerators,Refrigerator Frost Free more than 300L,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,Mobiles and Tablets,Mobile
Large Appliances,Refrigerators,Refrigerator Frost Free less than 300L,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,Mobiles and Tablets,Mobile
Large Appliances,Refrigerators,Refrigerator Direct Cool less than 300L,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,Mobiles and Tablets,Mobile
Large Appliances,Refrigerators,Refrigerator Frost Free more than 400L,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,Mobiles and Tablets,Mobile
Large Appliances,Washing Machines,Washing Machine Accessories,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Large Appliances,Washing Machines,Washing Machine Kits _ L,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Large Appliances,Refrigerators,Ice Maker,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Large Appliances,Washing Machines,Washing Machine Kits _ L2,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Large Appliances,Dishwashers,"Dishwasher Detergent , Cleaner & Holders",Others,,,,,,Mobiles and Tablets,Mobile
Large Appliances,Dishwashers,Dishwasher Salt & Tablets,Others,Cleaning,Home cleaning,Others,,,Mobiles and Tablets,Mobile
Large Appliances,Washing Machines,Washing Machine Detergent & Cleaners,Others,Cleaning,Laundry,Others,,,Mobiles and Tablets,Mobile
Computers Peripherals,Desktops,PC Desktop - Entry,IT,Desktop and Laptop,Desktop,Desktop Full Set,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Android Phones,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Phones Mobile,Multimedia Phones,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Windows Phones,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Blackberry Phones,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Phones Mobile,Dual Sim Phones,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Phones Mobile,Basic Phones,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Symbian Phones,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Phones Mobile,Mobiles CDMA - Non Premium,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,"LCD TFT 19-20""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,"LCD TFT 26""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,"LCD TFT 22""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,"LCD TFT 32""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,"LCD TFT 40-42""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,"LCD TFT 37""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,LCD Wall Mount Stand,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Entertainment,TV CRT,CRT Conventional,Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV CRT,"CRT Flat - 15""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV CRT,"CRT Flat - 21""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV CRT,"CRT Flat - 25""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV CRT,"CRT Flat - 29""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV Plasma,"Plasma 50""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV Plasma,"Plasma 42""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV Plasma,"Plasma 65""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV Plasma,Plasma Wall Mount Stand,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Input Devices,Tablets,IT,Desktop and Laptop,Others,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Mobile Computing,Apple,Others,,,,,,Mobiles and Tablets,Mobile
Imaging,Imaging Accessories,Photo Paper,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Imaging,Digital Cameras,Photo Printers,IT,Printer,others,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Mobile Computing,Entry Consignment,Others,,,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Desktops,PC Desktop - Mainstream,IT,Desktop and Laptop,Desktop,Desktop Full Set,,,Mobiles and Tablets,Mobile
Computers Peripherals,Desktops,PC Desktop - Premium,IT,Desktop and Laptop,Desktop,Desktop Full Set,,,Mobiles and Tablets,Mobile
Computers Peripherals,Desktops,PC Desktop - iMACs,IT,Desktop and Laptop,Desktop,Desktop Full Set,,,Mobiles and Tablets,Mobile
Communication,Calculators,PDA Accessories,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,"LCD TFT 46-47""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Desktops,PC Monitors,IT,Desktop and Laptop,Accessories Desktop and Laptop,Monitor,,,Mobiles and Tablets,Mobile
Communication,Calculators,Calculators,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Communication,Phones Mobile,Demo Mobiles,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Phones Mobile,Mobiles CDMA - Premium,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,LCD Accessories_H,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,LED Wall Mounting Accessories,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,"LCD TFT 52"" AND ABOVE",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,"LED Panels 32""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,"LED Panels 40""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,"LED Panels 46""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,"LED Panels 55""",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Imaging,Digital Cameras,Advanced Cameras,Electronics and Appliances,Home Appliances,Digital Camera,,,,Mobiles and Tablets,Mobile
Imaging,Imaging Accessories,Binoculars,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Imaging,Imaging Accessories,Lens - SLR Cameras,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Imaging,Digital Cameras,Basic Cameras,Electronics and Appliances,Home Appliances,Digital Camera,,,,Mobiles and Tablets,Mobile
Imaging,Digital Cameras,Prosumer Cameras,Electronics and Appliances,Home Appliances,Digital Camera,,,,Mobiles and Tablets,Mobile
Imaging,Digital Cameras,DSLR Cameras,Electronics and Appliances,Home Appliances,Digital Camera,,,,Mobiles and Tablets,Mobile
Imaging,DSLR Cameras,DSLR Mid Range,Electronics and Appliances,Home Appliances,Digital Camera,,,,Mobiles and Tablets,Mobile
Imaging,Camcorders,Camcorders - HDD,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Imaging,Camcorders,Camcorders - HD,Electronics and Appliances,Home Appliances,Camcorder,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Desktops,PC Desktop - Net Top,IT,Desktop and Laptop,Desktop,Desktop Full Set,,,Mobiles and Tablets,Mobile
Computers Peripherals,Mobile Computing,Gaming-Laptops,IT,Desktop and Laptop,Laptop,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Monitors,"Monitors - TFT 19""",IT,Desktop and Laptop,Accessories Desktop and Laptop,Monitor,,,Mobiles and Tablets,Mobile
Computers Peripherals,Tablets & Detachables,E-Reader,Electronics and Appliances,Mobiles and Tablets,Others,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Monitors,"Monitors - TFT 22""",IT,Desktop and Laptop,Accessories Desktop and Laptop,Monitor,,,Mobiles and Tablets,Mobile
Computers Peripherals,Monitors,"Monitors - TFT 24""",IT,Desktop and Laptop,Accessories Desktop and Laptop,Monitor,,,Mobiles and Tablets,Mobile
