Category L1,Category L2,Category L3
Large Appliances,Air Conditioners,AC Split
Large Appliances,Air Conditioners,AC Window
Large Appliances,Dummies,Dummies Split AC
Small Appliances,Health & Personal Care,Hair Care
Small Appliances,Air Purifier,Air Purifier Accessories
Small Appliances,Kitchen Appliances,Flourmill
Computers Peripherals,Desktops,PC Desktop - Entry
Communication,Smart Phones (OS Based),Android Phones
Communication,Phones Mobile Accessories,Scratchgard
Large Appliances,Dishwashers,Dishwashers
Small Appliances,Kitchen Appliances,Juicers/Choppers/Blenders
Small Appliances,Fans,Table / Pedestal Fans
Small Appliances,Fans,Tower Fans
Small Appliances,Fans,Ceiling Fans
Small Appliances,Cooling & Heating Appliances,Room Coolers
Small Appliances,Cooling & Heating Appliances,Room Heaters
Small Appliances,Cookware,Gas Stoves/Cooktops
Small Appliances,Cookware,Hobs
Small Appliances,Kitchen Appliances,Induction Cookers
Small Appliances,Cookware,Chimney
Small Appliances,Cookware,Cooking Range
Small Appliances,Health & Personal Care,Massagers
Small Appliances,Health & Personal Care,Well Being
Small Appliances,Health & Personal Care,Male Grooming & Shaving
Small Appliances,Kitchen Appliances,Coffee Makers
Small Appliances,Water Purifiers,Water Dispensers
Small Appliances,Kitchen Appliances,Food Preparation
Small Appliances,Home Appliances,Irons
Small Appliances,Kitchen Appliances,Kettles
Small Appliances,Kitchen Appliances,JMG/MG
Small Appliances,Kitchen Appliances,Kitchenware
Small Appliances,Health & Personal Care,Female Grooming & Depilation
Small Appliances,Kitchen Appliances,Toasters & Sandwich Makers
Small Appliances,Water Purifiers,Water Purifiers UV
Small Appliances,Tools,Kits & Accessories
Small Appliances,Home Appliances,Instant Geysers
Small Appliances,Home Appliances,Lighting
Large Appliances,Microwaves,Microwaves Solo
Large Appliances,Microwaves,Microwaves Accessories
Small Appliances,Ovens & Cookers,OTG Less Than 30L
Small Appliances,Ovens & Cookers,Cookers
Small Appliances,Ovens & Cookers,Snackmakers / Fryware
Computers Peripherals,PC Accessories,Adaptors/Cables
