state,city,Latitude,Longitude
Andaman and Nicobar Islands,Port Blair,11.665,92.739
Andhra Pradesh,Adoni,15.656,77.27
Andhra Pradesh,Amaravati,16.51,80.518
Andhra Pradesh,Anantapur,14.655,77.556
Andhra Pradesh,Chandragiri,13.522,79.228
Andhra Pradesh,Chittoor,13.16,79.156
Andhra Pradesh,Dowlaiswaram,16.956,81.793
Andhra Pradesh,Eluru,17.015,81.08
Andhra Pradesh,Guntur,16.292,80.454
Andhra Pradesh,Kadapa,14.475,78.822
Andhra Pradesh,Kakinada,16.997,82.246
Andhra Pradesh,Kurnool,15.831,78.043
Andhra Pradesh,Machilipatnam,16.182,81.135
Andhra Pradesh,Nagarjunakoṇḍa,16.522,79.242
Andhra Pradesh,Rajahmundry,17.005,81.78
Andhra Pradesh,Srikakulam,18.32,83.916
Andhra Pradesh,Tirupati,13.632,79.423
Andhra Pradesh,Vijayawada,16.509,80.619
Andhra Pradesh,Visakhapatnam,17.723,83.301
Andhra Pradesh,Vizianagaram,18.112,83.405
Andhra Pradesh,Yemmiganur,15.747,77.512
Arunachal Pradesh,Itanagar,27.098,93.624
Assam,Dhuburi,26.019,89.979
Assam,Dibrugarh,27.484,94.902
Assam,Dispur,26.151,91.793
Assam,Guwahati,26.181,91.754
Assam,Jorhat,26.758,94.208
Assam,Nagaon,26.304,92.716
Assam,Sivasagar,26.983,94.639
Assam,Silchar,24.818,92.756
Assam,Tezpur,26.617,92.765
Assam,Tinsukia,27.52,95.531
Bihar,Ara,25.548,84.662
Bihar,Barauni,25.431,86.028
Bihar,Begusarai,25.414,86.135
Bihar,Bettiah,26.791,84.56
Bihar,Bhagalpur,25.249,86.983
Bihar,Bihar Sharif,25.194,85.521
Bihar,Bodh Gaya,24.696,84.994
Bihar,Buxar,25.562,84.016
Bihar,Chapra,25.773,84.785
Bihar,Darbhanga,26.157,85.9
Bihar,Dehri,24.926,84.173
Bihar,Dinapur Nizamat,85.042,25.623
Bihar,Gaya,24.796,85.008
Bihar,Hajipur,25.721,85.256
Bihar,Jamalpur,25.33,86.457
Bihar,Katihar,25.55,87.594
Bihar,Madhubani,26.964,84.113
Bihar,Motihari,26.67,84.957
Bihar,Munger,25.387,86.5
Bihar,Muzaffarpur,26.167,85.417
Bihar,Patna,25.609,85.124
Bihar,Purnia,25.777,87.475
Bihar,Pusa,25.94,85.669
Bihar,Saharsa,25.86,86.621
Bihar,Samastipur,25.881,85.739
Bihar,Sasaram,24.9,84.018
Bihar,Sitamarhi,26.588,85.506
Bihar,Siwan,26.263,84.323
Chandigarh,Chandigarh,30.73,76.784
Chhattisgarh,Ambikapur,23.123,83.198
Chhattisgarh,Bhilai,21.212,81.373
Chhattisgarh,Bilaspur,21.989,82.11
Chhattisgarh,Dhamtari,20.708,81.548
Chhattisgarh,Durg,21.19,81.285
Chhattisgarh,Jagdalpur,19.087,82.024
Chhattisgarh,Raipur,21.238,81.634
Chhattisgarh,Rajnandgaon,21.135,80.899
Dadra and Nagar Haveli and Daman and Diu,Daman,20.42,72.864
Dadra and Nagar Haveli and Daman and Diu,Diu,20.718,70.932
Dadra and Nagar Haveli and Daman and Diu,Silvassa,20.274,73.005
Delhi,Delhi,42.278,-74.916
Delhi,New Delhi,28.614,77.209
Goa,Madgaon,15.268,73.971
Goa,Panaji,15.499,73.828
Gujarat,Ahmedabad,23.022,72.58
Gujarat,Amreli,20.867,70.75
Gujarat,Bharuch,21.708,72.996
Gujarat,Bhavnagar,21.772,72.142
Gujarat,Bhuj,23.247,69.668
Gujarat,Dwarka,22.247,68.974
Gujarat,Gandhinagar,23.223,72.649
Gujarat,Godhra,22.779,73.625
