Category L1,Category L2,Category L3,Grade Precedence,Grade,Item Condition,Functional,Physical Condition,Packaging Condition,Accessories
Large Appliances,Air Conditioners,AC Split,4,A,NA,NA,NA,Seal Packed/Packaging Yes,NA
Large Appliances,Air Conditioners,AC Window,3,B,NA/Un-used,NA,NA/No Damage/No Dent/No Scratches/No Screen Damage/No Screen Scratches/No Body Damage/No Body Scratches,Seal Packed/Packaging Yes/Open Good/Open Damage/Packaging No,NA/Yes
Large Appliances,Dishwashers,Dishwashers,2,C,NA/Un-used,NA,NA/No Damage/No Dent/No Scratches/No Body Damage/No Body Scratches/Minor Damage/Side Minor Damage/Top Minor Damage/Back Minor Damage/Minor Body Damage/Minor Body Scratches/Minor Dent/Front Minor Dent /Side Minor Dent/Back Minor Dent/Top Minor Dent/Minor Scratches/Front Minor Scratches /Side Minor Scratches/Back Minor Scratches/Top Minor Scratches/Major Scratches/Back Major Scratches/Top Major Scratches/No Screen Damage/No Screen Scratches,Seal Packed/Packaging Yes/Open Good/Open Damage/Packaging No,NA/Yes/No
Large Appliances,Refrigerators,Refrigerator Direct Cool less than 300L,1,D,NA/Un-used/Used,NA,NA/No Damage/No Dent/No Scratches/No Body Damage/No Body Scratches/Minor Damage/Front Minor Damage/Side Minor Damage/Top Minor Damage/Back Minor Damage/Minor Body Damage/Minor Dent/Front Minor Dent /Side Minor Dent/Back Minor Dent/Top Minor Dent/Minor Scratches/Front Minor Scratches /Side Minor Scratches/Back Minor Scratches/Top Minor Scratches/Minor Body Scratches/Major Scratches/Back Major Scratches/Top Major Scratches/Major Dent/Front Major Dent /Side Major Dent/Back Major Dent/Top Major Dent/Front Major Scratches /Side Major Scratches/No Screen Damage/No Screen Scratches/Minor Screen Scratches,Seal Packed/Packaging Yes/Open Good/Open Damage/Packaging No,NA/Yes/No
Large Appliances,Refrigerators,Wine Cellar's,0,E,NA/Un-used/Used,NA,NA/No Damage/No Dent/No Scratches/No Body Damage/No Body Scratches/Minor Damage/Front Minor Damage/Side Minor Damage/Top Minor Damage/Back Minor Damage/Minor Body Damage/Minor Dent/Front Minor Dent /Side Minor Dent/Back Minor Dent/Top Minor Dent/Minor Scratches/Front Minor Scratches /Side Minor Scratches/Back Minor Scratches/Top Minor Scratches/Minor Body Scratches/Major Scratches/Back Major Scratches/Top Major Scratches/Major Dent/Front Major Dent /Side Major Dent/Back Major Dent/Top Major Dent/Front Major Scratches /Side Major Scratches/Major Damage/Front Major Damage/Side Major Damage/Top Major Damage/Back Major Damage/No Screen Damage/No Screen Scratches/Minor Screen Damage/Minor Screen Scratches/Major Screen Damage/Major Screen Scratches/Major Body Damage/Major Body Scratches,Seal Packed/Packaging Yes/Open Good/Open Damage/Packaging No,NA/Yes/No
Large Appliances,Refrigerators,Refrigerator Frost Free less than 300L,,,,,,,
Large Appliances,Refrigerators,Refrigerator Frost Free more than 300L,,,,,,,
Large Appliances,Refrigerators,Refrigerator Side By Side,,,,,,,
Large Appliances,Washing Machines,WM Top Loaders,,,,,,,
Large Appliances,Washing Machines,WM Semi Automatic,,,,,,,
Large Appliances,Washing Machines,Washer Dryer Combi,,,,,,,
Large Appliances,Dryers,Dryers,,,,,,,
Large Appliances,Washing Machines,WM Front Loaders,,,,,,,
Large Appliances,Refrigerators,Refrigerator Deep Freezer,,,,,,,
Large Appliances,Air Conditioners,Portable Air Conditioners,,,,,,,
Large Appliances,Air Conditioners,Air Conditioner Accesories Kit,,,,,,,
Large Appliances,Refrigerators,Refrigerator Kits,,,,,,,
Large Appliances,Refrigerators,Refrigerator Frost Free more than 400L,,,,,,,
Large Appliances,Refrigerators,Refrigerator Consignment,,,,,,,
Large Appliances,Air Conditioners,ExWty- Air Conditioners,,,,,,,
Large Appliances,Dishwashers,ExWty- Dishwashers,,,,,,,
Large Appliances,Refrigerators,ExWty- Refrigerators,,,,,,,
Large Appliances,Washing Machines,ExWty- Washing Machines,,,,,,,
Large Appliances,Dryers,ExWty- Dryers,,,,,,,
Large Appliances,Washing Machines,Washing Machine Consignment,,,,,,,
Large Appliances,Washing Machines,Washing Machine Kits,,,,,,,
Large Appliances,Dryers,Dryer Consignment,,,,,,,
Large Appliances,Dishwashers,Dishwasher Consignment,,,,,,,
Large Appliances,Air Conditioners,Stabilizer,,,,,,,
Large Appliances,Air Conditioners,Tower AC,,,,,,,
Large Appliances,Air Conditioners,Invertor AC,,,,,,,
Large Appliances,Air Conditioners,Cassette AC,,,,,,,
Large Appliances,Washing Machines,WM Front Loaders,,,,,,,
Large Appliances,Refrigerators,Refrigerator Side By Side,,,,,,,
Large Appliances,Refrigerators,Refrigerator Frost Free more than 300L,,,,,,,
Large Appliances,Refrigerators,Refrigerator Frost Free less than 300L,,,,,,,
Large Appliances,Washing Machines,WM Top Loaders,,,,,,,
Large Appliances,Refrigerators,Refrigerator Frost Free more than 300L,,,,,,,
Large Appliances,Refrigerators,Refrigerator Frost Free more than 300L,,,,,,,
Large Appliances,Washing Machines,WM Front Loaders,,,,,,,
Large Appliances,Air Conditioners,AC Window,,,,,,,
Large Appliances,Dishwashers,Dishwashers,,,,,,,
Large Appliances,Refrigerators,Refrigerator Direct Cool less than 300L,,,,,,,
Large Appliances,Refrigerators,Wine Cellar's,,,,,,,
Large Appliances,Refrigerators,Refrigerator Frost Free less than 300L,,,,,,,
Large Appliances,Refrigerators,Refrigerator Frost Free more than 300L,,,,,,,
Large Appliances,Refrigerators,Refrigerator Side By Side,,,,,,,
Large Appliances,Washing Machines,WM Top Loaders,,,,,,,
Large Appliances,Washing Machines,WM Semi Automatic,,,,,,,
Large Appliances,Washing Machines,Washer Dryer Combi,,,,,,,
Large Appliances,Dryers,Dryers,,,,,,,
Large Appliances,Air Conditioners,AC Split,,,,,,,
Large Appliances,Washing Machines,WM Front Loaders,,,,,,,
Large Appliances,Refrigerators,Refrigerator Deep Freezer,,,,,,,
Large Appliances,Air Conditioners,Portable Air Conditioners,,,,,,,
Large Appliances,Air Conditioners,Air Conditioner Accesories Kit,,,,,,,
Large Appliances,Refrigerators,Refrigerator Kits,,,,,,,
Large Appliances,Refrigerators,Refrigerator Frost Free more than 400L,,,,,,,
Large Appliances,Refrigerators,Refrigerator Consignment,,,,,,,
Large Appliances,Air Conditioners,ExWty- Air Conditioners,,,,,,,
Large Appliances,Dishwashers,ExWty- Dishwashers,,,,,,,
Large Appliances,Refrigerators,ExWty- Refrigerators,,,,,,,
Large Appliances,Washing Machines,ExWty- Washing Machines,,,,,,,
Large Appliances,Dryers,ExWty- Dryers,,,,,,,
Large Appliances,Washing Machines,Washing Machine Consignment,,,,,,,
Large Appliances,Washing Machines,Washing Machine Accessories,,,,,,,
Large Appliances,Dryers,Dryer Consignment,,,,,,,
Large Appliances,Dishwashers,Dishwasher Consignment,,,,,,,
Large Appliances,Air Conditioners,Stabilizer,,,,,,,
Large Appliances,Air Conditioners,Tower AC,,,,,,,
Large Appliances,Air Conditioners,Invertor AC,,,,,,,
Large Appliances,Air Conditioners,Cassette AC,,,,,,,
Large Appliances,Washing Machines,Washing Machine Kits _ L,,,,,,,
Large Appliances,Refrigerators,Ice Maker,,,,,,,
Large Appliances,Washing Machines,Washing Machine Kits _ L2,,,,,,,
Large Appliances,Dishwashers,"Dishwasher Detergent , Cleaner & Holders",,,,,,,
Large Appliances,Dishwashers,Dishwasher Salt & Tablets,,,,,,,
Small Appliances,Home Appliances,Irons,,,,,,,
Small Appliances,Home Appliances,Instant Geysers,,,,,,,
Small Appliances,Home Appliances,Lighting,,,,,,,
Small Appliances,Home Appliances,Small Vacuum Cleaners,,,,,,,
Small Appliances,Home Appliances,Large Vacuum Cleaners,,,,,,,
Small Appliances,Home Appliances,Storage Geysers,,,,,,,
Small Appliances,Home Appliances,ExWty- Vacuums,,,,,,,
Small Appliances,Home Appliances,Robotic Vacuum Cleaners,,,,,,,
Small Appliances,Home Appliances,Irons,,,,,,,
Small Appliances,Home Appliances,Irons,,,,,,,
Small Appliances,Home Appliances,Instant Geysers,,,,,,,
Small Appliances,Home Appliances,Lighting,,,,,,,
Small Appliances,Home Appliances,Small Vacuum Cleaners,,,,,,,
Small Appliances,Home Appliances,Large Vacuum Cleaners,,,,,,,
Small Appliances,Home Appliances,Storage Geysers,,,,,,,
Small Appliances,Home Appliances,ExWty- Vacuums,,,,,,,
Small Appliances,Home Appliances,Robotic Vacuum Cleaners,,,,,,,
Small Appliances,Home Appliances,ExWty - Home Appliances,,,,,,,
Small Appliances,Home Appliances,Accessories_L,,,,,,,
Small Appliances,Home Appliances,Led Light,,,,,,,
Small Appliances,Home Appliances,Solar Water Heater,,,,,,,
Small Appliances,Home Appliances,Sewing Machine,,,,,,,
Large Appliances,Washing Machines,Washing Machine Detergent & Cleaners,,,,,,,
,,,End,,,,,,
Computers Peripherals,Desktops,PC Desktop - Entry,4,A,NA,NA,NA,Seal Pack/Packaging Yes,NA
Communication,Smart Phones (OS Based),Android Phones,3,B,NA/Un-used,NA,NA/No Damage/No Dent/No Scratches/No Screen Damage/No Screen Scratches/No Body Damage/No Body Scratches,Seal Pack/Packaging Yes/Open Good/Open Damage/Packaging No,NA/Yes
Communication,Phones Mobile,Multimedia Phones,2,C,NA/Un-used,NA,NA/No Damage/No Dent/No Scratches/No Body Damage/No Body Scratches/Minor Damage/Side Minor Damage/Top Minor Damage/Back Minor Damage/Minor Body Damage/Minor Body Scratches/Minor Dent/Front Minor Dent /Side Minor Dent/Back Minor Dent/Top Minor Dent/Minor Scratches/Front Minor Scratches /Side Minor Scratches/Back Minor Scratches/Top Minor Scratches/Major Scratches/Back Major Scratches/Top Major Scratches/No Screen Damage/No Screen Scratches,Seal Pack/Packaging Yes/Open Good/Open Damage/Packaging No,NA/Yes/No
Communication,Smart Phones (OS Based),Windows Phones,1,D,NA/Un-used/Used,NA,NA/No Damage/No Dent/No Scratches/No Body Damage/No Body Scratches/Minor Damage/Front Minor Damage/Side Minor Damage/Top Minor Damage/Back Minor Damage/Minor Body Damage/Minor Dent/Front Minor Dent /Side Minor Dent/Back Minor Dent/Top Minor Dent/Minor Scratches/Front Minor Scratches /Side Minor Scratches/Back Minor Scratches/Top Minor Scratches/Minor Body Scratches/Major Scratches/Back Major Scratches/Top Major Scratches/Major Dent/Front Major Dent /Side Major Dent/Back Major Dent/Top Major Dent/Front Major Scratches /Side Major Scratches/No Screen Damage/No Screen Scratches/Minor Screen Scratches,Seal Pack/Packaging Yes/Open Good/Open Damage/Packaging No,NA/Yes/No
Communication,Smart Phones (OS Based),Blackberry Phones,0,E,NA/Un-used/Used,NA,NA/No Damage/No Dent/No Scratches/No Body Damage/No Body Scratches/Minor Damage/Front Minor Damage/Side Minor Damage/Top Minor Damage/Back Minor Damage/Minor Body Damage/Minor Dent/Front Minor Dent /Side Minor Dent/Back Minor Dent/Top Minor Dent/Minor Scratches/Front Minor Scratches /Side Minor Scratches/Back Minor Scratches/Top Minor Scratches/Minor Body Scratches/Major Scratches/Back Major Scratches/Top Major Scratches/Major Dent/Front Major Dent /Side Major Dent/Back Major Dent/Top Major Dent/Front Major Scratches /Side Major Scratches/Major Damage/Front Major Damage/Side Major Damage/Top Major Damage/Back Major Damage/No Screen Damage/No Screen Scratches/Minor Screen Damage/Minor Screen Scratches/Major Screen Damage/Major Screen Scratches/Major Body Damage/Major Body Scratches,Seal Pack/Packaging Yes/Open Good/Open Damage/Packaging No,NA/Yes/No
Communication,Phones Mobile,Dual Sim Phones,,,,,,,
