Name,Original Name,Active,Mandatory
seller,Seller,0,0
seller_code,Seller Code,0,0
request_date,Request date,0,0
request_id,Request ID,0,0
inward_document_number,Inward document number,0,0
city,City,0,1
inward_date,Inward date,0,0
inward_executive,Inward executive,0,0
inward_executive_emp_id,Inward executive Emp ID,0,0
tag_number,Tag Number,1,0
inventory_id,Inventory ID,0,0
category_l1,Category L1,0,1
category_l2,Category L2,0,1
category_l3,Category L3,0,0
category_l4,Category L4,0,0
category_l5,Category L5,0,0
category_l6,Category L6,0,0
category_l7,Category L7,0,0
sku_code,SKU Code,1,1
item_description,SKU Description,1,1
brand,Brand,0,1
model,Model,0,0
sub_model_variant,Sub-Model/ Variant,0,0
item_price,MRP (in INR),1,1
special_price,Least Available price (in INR),0,1
unit_packaging,Unit packaging,0,0
set_size,Set Size,0,0
year_of_manufacture,Year of Manufacture,0,0
warranty_status,Warranty status,0,0
ean_upc_number,EAN UPC number,0,0
asin,Amazon's SKU Code,0,0
fsn,Flipkart SKU Code,0,0
screen_size_in_inches_monitor,Screen Size (in Inches) Monitor,0,0
age_group,Age Group,0,0
serial_number_1_electronic_app,Serial number 1 Electronic and Appliances,0,0
serial_number_2_electronic_app,Serial number 2 Electronic and Appliances,0,0
colour_fashion_style,Colour Fashion and Style,0,0
serial_number_1_it,Serial number 1 IT,0,0
serial_number_2_it,Serial number 2 IT,0,0
os_desktop,OS Desktop,0,0
hdd_in_gb_desktop,HDD (in GB) Desktop,0,0
processor_desktop,Processor Desktop,0,0
ram_in_gb_desktop,RAM (in GB) Desktop,0,0
screen_size_in_inches_desktop,Screen Size (in Inches) Desktop,0,0
ssd_in_gb_desktop,SSD (in GB) Desktop,0,0
os_laptop,OS Laptop,0,0
colour_laptop,Colour Laptop,0,0
hdd_in_gb_laptop,HDD (in GB) Laptop,0,0
processor_laptop,Processor Laptop,0,0
ram_in_gb_laptop,RAM (in GB) Laptop,0,0
screen_size_in_inches_laptop,Screen Size (in Inches) Laptop,0,0
ssd_in_gb_laptop,SSD (in GB) Laptop,0,0
fabric_apparel,Fabric Apparel,0,0
fitting,Fitting,0,0
pattern_apparel,Pattern Apparel,0,0
size_apparel,Size Apparel,0,0
sleeve,Sleeve,0,0
weight_in_kg_bar,Weight (in KG) Bar,0,0
weight_in_kg_dumbles,Weight (in KG) Dumbles,0,0
weight_in_kg_iron_rod,Weight (in KG) Iron rod,0,0
weight_in_kg_weights,Weight (in KG) Weights,0,0
comp_with_home_app_accessories,Compatible with Home appliance accessories,0,0
capacity_in_ml_kitchen_applian,Capacity (in ml) Kitchen Appliances,0,0
capacity_tonnage_ac,Capacity (Tonnage) Air Conditioner,0,0
power_rating_air_conditioner,Power rating Air Conditioner,0,0
capacity_litres_air_cooler,Capacity (Litres) Air Cooler,0,0
power_consumption_in_watts_air,Power Consumption (in watts) Air Cooler,0,0
blade_length_in_cm,Blade length (in cm),0,0
colour_ceiling_fan,Colour Ceiling Fan,0,0
number_of_blades_ceiling_fan,Number of blades Ceiling Fan,0,0
comp_with_home_app_spares,Compatible with Home appliance spares,0,0
colour_speaker,Colour Speaker,0,0
number_of_speakers,Number of speakers,0,0
power_output_in_watts_speaker,Power output (in watts) Speaker,0,0
sound_output_range_in_hz_speak,Sound output Range (in Hz) Speaker,0,0
type_speaker,Type Speaker,0,0
colour_table_fan,Colour Table fan,0,0
number_of_blades_table_fan,Number of blades Table fan,0,0
high_definition,High Definition,0,0
power_rating_television,Power rating Television,0,0
resolution_television,Resolution Television,0,0
size_in_inch_television,Size (in inch) Television,0,0
speaker_output_in_watts_televi,Speaker output (in watts) Television,0,0
type_television,Type Television,0,0
blower_function,Blower function,0,0
suction_power_in_watts,Suction Power (in watts),0,0
capacity_in_kg_washing_machine,Capacity ( in kg) Washing Machine,0,0
power_consumption_in_watts_was,Power Consumption (in watts) Washing Machine,0,0
power_rating_washing_machine,Power rating Washing Machine,0,0
type_of_machine_function,Type of Machine Function,0,0
type_of_machine_load,Type of Machine Load,0,0
type_of_machine_washing,Type of Machine Washing,0,0
washing_system,Washing System,0,0
capacity_litres_water_heater,Capacity (Litres) Water Heater,0,0
power_rating_water_heater,Power rating Water Heater,0,0
flavour_tooth_paste,Flavour Tooth Paste,0,0
weight_in_gms_tooth_paste,Weight (in Gms) Tooth paste,0,0
comp_with_desk_lap_accessories,Compatible with Desktop & Laptop Accessories,0,0
compatible_with_printer_access,Compatible with Printer accessories,0,0
functions,Functions,0,0
device_chipset,Device chipset,0,0
distance_in_mtrs,Distance (in mtrs),0,0
lamp_life_in_hours,Lamp life (in hours),0,0
maximum_brightness_in_lm,Maximum Brightness (in lm),0,0
resolution_projector,Resolution Projector,0,0
storage_in_gb_server,Storage (in GB) Server,0,0
comp_with_desk_lap_spares,Compatible with Desktop & Laptop Spares,0,0
storage_in_gb_storage_products,Storage (in GB) Storage products,0,0
back_up_in_mins,Back up (in mins),0,0
battery,Battery,0,0
capacity_in_va,Capacity (in VA),0,0
comp_with_kitc_app_accessories,Compatible with Kitchen appliances accessories,0,0
