Category L1,Category L2,Category L3,Grade Precedence,Grade,Item Condition,Functional,Physical Condition,Packaging Condition,Accessories
Large Appliances,Air Conditioners,AC Split,4,A,NA,No Issues,No Damage/No Dent/No Scratches/Minor Dent/Minor Scratches,Available/Damaged,Available/Not Available
Large Appliances,Air Conditioners,AC Window,3,B,NA,No Issues,No Damage/No Dent/No Scratches/Minor Dent/Minor Scratches/Minor Damage,Available/Damaged/Not Available,Available/Not Available
Large Appliances,Dummies,Dummies Split AC,2,C,NA,No Issues/Minor Issues,No Damage/No Dent/No Scratches/Minor Dent/Minor Scratches/Minor Damage/Major Dent/Major Scratches,Available/Damaged/Not Available,Available/Not Available
Large Appliances,Dishwashers,Dishwashers,1,D,NA,No Issues/Minor Issues/Major Issues,No Damage/No Dent/No Scratches/Minor Dent/Minor Scratches/Minor Damage/Major Dent/Major Scratches/Major Damage,Available/Damaged/Not Available,Available/Not Available
Large Appliances,Microwaves,Microwaves Solo,,,,,,,
Large Appliances,Microwaves,Microwaves Accessories,,,,,,,
Large Appliances,Refrigerators,Refrigerator Direct Cool <300L,,,,,,,
Large Appliances,Refrigerators,Wine Cellar's,,,,,,,
Large Appliances,Refrigerators,Refrigerator Frost Free <300L,,,,,,,
Large Appliances,Refrigerators,Refrigerator Side By Side,,,,,,,
Large Appliances,Washing Machines,WM Top Loaders,,,,,,,
Large Appliances,Washing Machines,WM Semi Automatic,,,,,,,
Large Appliances,Washing Machines,Washer Dryer Combi,,,,,,,
Large Appliances,Dryers,Dryers,,,,,,,
Large Appliances,Microwaves,Microwaves Convection,,,,,,,
Large Appliances,Microwaves,Microwaves Grill,,,,,,,
Large Appliances,Washing Machines,WM Front Loaders,,,,,,,
Large Appliances,Refrigerators,Refrigerator Deep Freezer,,,,,,,
Large Appliances,Air Conditioners,Portable Air Conditioners,,,,,,,
Large Appliances,Air Conditioners,Air Conditioner Accesories Kit,,,,,,,
Large Appliances,Refrigerators,Refrigerator Kits,,,,,,,
Large Appliances,Refrigerators,Refrigerator Frost Free >400L,,,,,,,
Large Appliances,Refrigerators,Refrigerator Consignment,,,,,,,
Large Appliances,Air Conditioners,ExWty- Air Conditioners,,,,,,,
Large Appliances,Dishwashers,ExWty- Dishwashers,,,,,,,
Large Appliances,Microwaves,ExWty- Microwaves,,,,,,,
Large Appliances,Refrigerators,ExWty- Refrigerators,,,,,,,
Large Appliances,Washing Machines,ExWty- Washing Machines,,,,,,,
Large Appliances,Dryers,ExWty- Dryers,,,,,,,
Large Appliances,Washing Machines,Washing Machine Consignment,,,,,,,
Large Appliances,Washing Machines,Washing Machine Kits,,,,,,,
Large Appliances,Dummies,Dummies Washing Machines,,,,,,,
Large Appliances,Dryers,Dryer Consignment,,,,,,,
Large Appliances,Dishwashers,Dishwasher Consignment,,,,,,,
Large Appliances,Air Conditioners,Stabilizer,,,,,,,
Large Appliances,Air Conditioners,Tower AC,,,,,,,
Large Appliances,Air Conditioners,Invertor AC,,,,,,,
Large Appliances,Air Conditioners,Cassette AC,,,,,,,
Large Appliances,Refrigerators,Refrigerator Frost Free more than 300L,,,,,,,
Large Appliances,Refrigerators,Refrigerator Frost Free less than 300L,,,,,,,
Large Appliances,Refrigerators,Refrigerator Direct Cool less than 300L,,,,,,,
Large Appliances,Refrigerators,Refrigerator Frost Free more than 400L,,,,,,,
Large Appliances,Washing Machines,Washing Machine Accessories,,,,,,,
Large Appliances,Washing Machines,Washing Machine Kits _ L,,,,,,,
Large Appliances,Refrigerators,Ice Maker,,,,,,,
Large Appliances,Washing Machines,Washing Machine Kits _ L2,,,,,,,
Large Appliances,Dishwashers,"Dishwasher Detergent , Cleaner & Holders",,,,,,,
Large Appliances,Dishwashers,Dishwasher Salt & Tablets,,,,,,,
Large Appliances,Washing Machines,Washing Machine Detergent & Cleaners,,,,,,,
,,,End,,,,,,
Computers Peripherals,Desktops,PC Desktop - Entry,4,A,NA,No Issues,No Screen Damage/No Body Damage/No Dent/No Screen Scratches/No Body Scratches/Minor Screen Scratches/Minor Body Scratches,Available/Damaged,Available/Not Available
Communication,Smart Phones (OS Based),Android Phones,3,B,NA,No Issues,No Screen Damage/No Body Damage/No Dent/No Screen Scratches/No Body Scratches/Minor Body Damage/Minor Dent/Minor Screen Scratches/Minor Body Scratches,Available/Damaged/Not Available,Available/Not Available
