Name,Code
COUNTRY,CTRY
STATE,STATE
CITY,CITY
INVENTORY_STATUS_STORE,INV_STS_STORE
INVENTORY_STATUS_WAREHOUSE,INV_STS_WAREHOUSE
LOGISTICS_ORDER_TYPES,LOGISTICS_ODR_TYPES
EMAIL_TEMPLATES,EMAIL_TEMPLATES
INVENTORY_GRADE,INV_GRADE
RETURN_REQUEST_STATUS,RETURN_REQUEST_STS
GATE_PASS_STATUS,GATE_PASS_STS
DISTRIBUTION_CENTER_TYPES,DISTRIBUTION_CNT_TYPES
WAREHOUSE_BOX_CONDITIONS,WAREHOUSE_BOX_CONDITIONS
CONSIGNMET_FILE_TYPES,CONSIGNMET_FILE_TYPES
CONSIGNMET_BOX_FILE_TYPES,CONSIGNMET_BOX_FILE_TYPES
ALERT_TYPES,ALERT_TYPES
WAREHOUSE_REASONS,WAREHOUSE_REASONS
VENDOR_RETURN_STATUS,VENDOR_RETURN_STATUS
RTV_ALERT_TYPE,RTV_ALERT_TYPE
REPAIR_STATUS,REPAIR_STATUS
DEALER_STATUS,DEALER_STATUS
DEALER_TYPES,DEALER_TYPES
COMPANY_STOCK_INVENTORY_STATUS,COMPANY_STOCK_INVENTORY_STATUS
DEALER_ORDER_STATUS,DEALER_ORDER_STATUS
INVOICE_PAYMENT_TYPES,INVOICE_PAYMENT_TYPES
DEALER_ORDER_INVENTORY_STATUS,DEALER_ORDER_INVENTORY_STATUS
DEALER_ORDER_INVENTORY_SALE_STATUS,DEALER_ORDER_INVENTORY_SALE_STATUS
ORDER_STATUS_WAREHOUSE,ORDER_STATUS_WAREHOUSE
GATEPASS_INVENTORY_STATUS,GATEPASS_INV_STS
INSURANCE_STATUS,INSURANCE_STATUS
INSURANCE_FILE_TYPE,INSURANCE_FILE_TYPE
WAREHOUSE_CONSIGNMENT_FILE_TYPES,WAREHOUSE_CONSIGNMENT_FILE_TYPES
WAREHOUSE_ORDER_FILE_TYPES,WAREHOUSE_ORDER_FILE_TYPES
INSURANCE_STATUS,INSURANCE_STATUS
INSURANCE_FILE_TYPE,INSURANCE_FILE_TYPE
WAREHOUSE_CONSIGNMENT_FILE_TYPES,WAREHOUSE_CONSIGNMENT_FILE_TYPES
WAREHOUSE_ORDER_FILE_TYPES,WAREHOUSE_ORDER_FILE_TYPES
REPAIR_STATUS,REPAIR_STATUS
REPAIR_LOCATION,REPAIR_LOCATION
WAREHOUSE_DISPOSITION,WAREHOUSE_DISPOSITION
LIQUIDATION_STATUS,LIQUIDATION_STATUS
REPLACEMENT_FILE_TYPE,REPLACEMENT_FILE_TYPE
REPLACEMENT_LOCATION,REPLACEMENT_LOCATION
REPLACEMENT_STATUS,REPLACEMENT_STATUS
MARKDOWN_STATUS,MARKDOWN_STATUS
REDEPLOY_STATUS,REDEPLOY_STATUS
RESTOCK_STATUS,RESTOCK_STATUS
MARKDOWN_FILE_TYPE,MARKDOWN_FILE_TYPE
RETURN_REASON_FILE_TYPES,RETURN_REASON_FILE_TYPES
RTV_FILE_TYPE,RTV_FILE_TYPE
POLICY,POLICY
E-WASTE_STATUS,E-WASTE_STATUS
LOT_STATUS,LOT_STATUS
GRADING_TYPE,GRADING_TYPE
PENDING_DISPOSITION_STATUS,PENDING_DISPOSITION_STATUS
VENDOR_TYPE,VENDOR_TYPE
UPDATE_STN_FILE_TYPES,UPDATE_STN_FILE_TYPES
LIQUIDATION_LOT_TYPE,LIQUIDATION_LOT_TYPE
WAREHOUSE_ORDER_DOCUMENT_TYPES,WAREHOUSE_ORDER_DOCUMENT_TYPES
GATE_PASS_TYPE,GATE_PASS_TYPE
INVENTORY_STATUS_FORWARD,INV_STS_FORWARD
REQUEST_STATUS,REQUEST_STATUS
DISPATCH_STATUS,DISPATCH_STATUS
INWARD_STATUSES,INWARD_STATUSES
BOX_STATUSES, BOX_STATUSES
BOX_CONDITION, BOX_CONDITION
PENDING_ITEM_SEARCH,PENDING_ITEM_SEARCH
PENDING_BOX_SEARCH,PENDING_BOX_SEARCH
BRAND_CALL_LOG_STATUS,BRAND_CALL_LOG_STATUS
RETURN_CHANNEL_TYPES,RETURN_CHANNEL_TYPES
RETURN_TYPES,RETURN_TYPES
RETURN_REQUEST_SUB_TYPES,RETURN_REQUEST_SUB_TYPES
RETURN_REQUEST_RETURN_REASONS,RETURN_REQUEST_RETURN_REASONS
RETURN_REQUEST_RETURN_SUB_REASONS,RETURN_REQUEST_RETURN_SUB_REASONS
RETURN_CREATION_LOCATIONS,RETURN_CREATION_LOCATIONS
RETURN_INVENTORY_INFORMATION_STATUS,RETURN_INVENTORY_INFORMATION_STATUS
RETURN_CREATION_STATUS,RETURN_CREATION_STATUS
RETURN_ITEM_DETAILS,RETURN_ITEM_DETAILS
RETURN_INCIDENT_DAMAGE_TYPES,RETURN_INCIDENT_DAMAGE_TYPES
RETURN_TYPE_OF_LOSS,RETURN_TYPE_OF_LOSS
RETURN_SALVAGE_VALUES,RETURN_SALVAGE_VALUES
RETURN_INCIDENT_LOCATION,RETURN_INCIDENT_LOCATION
RETURN_VENDOR_RESPONSIBLE,RETURN_VENDOR_RESPONSIBLE
SALES_RETURN_PREFFERED_SETTLEMENT_METHOD,SALES_RETURN_PREFFERED_SETTLEMENT_METHOD
RETURN_INITIATION_DISPOSITION_STATUS,RETURN_INITIATION_DISPOSITION_STATUS
SALES_RETURN_SETTLEMENT_METHOD,SALES_RETURN_SETTLEMENT_METHOD
SALES_RETURN_REJECT_SETTLEMENT_METHOD,SALES_RETURN_REJECT_SETTLEMENT_METHOD
WARRANTY_RETURN_SETTLEMENT_METHOD,WARRANTY_RETURN_SETTLEMENT_METHOD
LEASE_RETURN_SETTLEMENT_METHOD,LEASE_RETURN_SETTLEMENT_METHOD
SALEABLE_STATUS, SALEABLE_STATUS
STANDALONE_INVENTORY_GRADE,STANDALONE_INVENTORY_GRADE
CAPITAL_ASSET_STATUS,CAPITAL_ASSET_STATUS
FORWARD_REPLACEMENT_STATUS,FORWARD_REPLACEMENT_STATUS
FORWARD_DISPOSITION,FORWARD_DISPOSITION
FORWARD_DEMO_STATUS,FORWARD_DEMO_STATUS
RENTAL_STATUS,RENTAL_STATUS
TRANSFER_INVENTORY_STATUS,TRANSFER_INVENTORY_STATUS
PRODUCTION_STATUS,PRODUCTION_STATUS
ARTICLE_TYPES,ARTICLE_TYPES
UOM_CODES,UOM_CODES
PRD_STATUS,PRD_STATUS
CANNIBALIZATION_STATUS,CANNIBALIZATION_STATUS
