Category (L2),Grade,Disposition,Return Reason,Brand
Air Conditioners,AA,Brand Call-Log,OL NER Approved,Croma
Air Conditioners,A,Insurance,Ecom return,Hitachi
Dummies,B,RTV,Ecom- Transit Damage,Tp-Link
Dishwashers,C,Replacement,Transit Damage,Apple
Microwaves,D,Repair,OL Servify Approved,boAt
Microwaves,Not Tested,Redeploy,DC Damage,Pebbles
Refrigerators,,Liquidation,OL- Uncategorized products from Stores,fingers
Refrigerators,,,Brand Approved DOA,Brilyant
Refrigerators,,,Store Empowerment,Zebronics
Refrigerators,,,Display Defective,Borosil
Washing Machines,,,Transit Damage,RD Plast
Washing Machines,,,Ecom- Transit Damage,Sony
Washing Machines,,,Ecom return,Kutchina
Dryers,,,DC Damage,Jabra
Microwaves,,,,Staunch
Microwaves,,,,Portronics
Washing Machines,,,,TAGG
Refrigerators,,,,Hisense
Air Conditioners,,,,Titan
Air Conditioners,,,,OnePlus
Refrigerators,,,,RNG Eko Green
Refrigerators,,,,R for Rabbit
Refrigerators,,,,Sharp
Air Conditioners,,,,Whirlpool
Dishwashers,,,,Samsung
Microwaves,,,,Voltas Beko
Refrigerators,,,,HYPHEN
Washing Machines,,,,KENT
Dryers,,,,Noise
Washing Machines,,,,Xiaomi
Washing Machines,,,,Fire-Boltt
Dummies,,,,Blue Star
Dryers,,,,HP
Dishwashers,,,,Panasonic
Air Conditioners,,,,A. O. Smith
Air Conditioners,,,,Realme
Air Conditioners,,,,IFB
Air Conditioners,,,,JBL
Refrigerators,,,,LG
Refrigerators,,,,Urbn
Refrigerators,,,,Morphy Richards
Refrigerators,,,,Seagate
Washing Machines,,,,Lenovo
Washing Machines,,,,Havells
Refrigerators,,,,InBase
Washing Machines,,,,Fujifilm
Dishwashers,,,,Crossloop
Dishwashers,,,,Bosch
Washing Machines,,,,Swiss Military
,,,,Modget
Desktops,,,,PTron
Smart Phones (OS Based),,,,Mycrofine
Phones Mobile,,,,Candy
Smart Phones (OS Based),,,,Philips
Smart Phones (OS Based),,,,Natraj
Phones Mobile,,,,Aquaguard
Phones Mobile,,,,Amazon
Smart Phones (OS Based),,,,NeoPack
Phones Mobile,,,,Bose
TV LCD,,,,Vaku Luxos
TV LCD,,,,Nokia
TV LCD,,,,Conekt
TV LCD,,,,Saregama
TV LCD,,,,Luminous
TV LCD,,,,Dell
TV LCD,,,,Liebherr
TV CRT,,,,Powerup
TV CRT,,,,Unigen
TV CRT,,,,Lloyd
TV CRT,,,,Bajaj
TV CRT,,,,Usha
TV Plasma,,,,Elica
TV Plasma,,,,Livpure
TV Plasma,,,,Pureit
TV Plasma,,,,Rico
Input Devices,,,,Fenda
Mobile Computing,,,,Eureka Forbes
Imaging Accessories,,,,Nestle
Digital Cameras,,,,Sennheiser
Mobile Computing,,,,O General
Desktops,,,,Crompton
Desktops,,,,MILTON
Desktops,,,,Godrej
Calculators,,,,Asus
TV LCD,,,,Milcent
Desktops,,,,Oppo
Calculators,,,,Logitech
Phones Mobile,,,,Infinity
Phones Mobile,,,,Targus
TV LCD,,,,Haier
TV LCD,,,,Acer
TV LCD,,,,Stuffcool
TV LCD,,,,Kodak
TV LCD,,,,SanDisk
TV LCD,,,,Leaf
TV LCD,,,,Scratchgard
Digital Cameras,,,,Eleon
Imaging Accessories,,,,Super General
Imaging Accessories,,,,I KALL
Digital Cameras,,,,TCL
Digital Cameras,,,,IGear
Digital Cameras,,,,Spigen
DSLR Cameras,,,,Resonate
Camcorders,,,,Red Gear
Camcorders,,,,Razer
Desktops,,,,QUIX
Mobile Computing,,,,Daikin
Monitors,,,,Tropicool
Tablets & Detachables,,,,Preethi
Monitors,,,,Harman Kardon
Monitors,,,,Voltas
Monitors,,,,Sunflame
Desktops,,,,SafeStab
Desktops,,,,Hammer
Calculators,,,,Eveready
Monitors,,,,XECH
TV CRT,,,,NuvoMed
Smart Phones (OS Based),,,,Dettol
Tablets & Detachables,,,,Lifelong
Mobile Computing,,,,Symphony
Brand Free Mobiles,,,,Oakmist
Smart Phones (OS Based),,,,V-Guard
TV LCD,,,,Coffeeza
TV LCD,,,,Syska
Phones Mobile,,,,ZunVolt
TV LCD,,,,Foxsky
Smart Phones (OS Based),,,,Boompods
Phones Mobile,,,,LAPCARE
TV LCD,,,,eOnz
Digital Cameras,,,,GM
Desktops,,,,Travel Blue
Mobile Computing,,,,Boult Audio
Tablets & Detachables,,,,VIP
Tablets & Detachables,,,,Racold
Smart Phones (OS Based),,,,Mitsubishi Heavy
DSLR Cameras,,,,D-Link
TV LCD,,,,Faber
Smart Phones (OS Based),,,,Bergmann
DSLR Cameras,,,,Boss
Digital Cameras,,,,MATATA
Mobile Computing,,,,PowerMax
Mobile Computing,,,,Balzano
Mobile Computing,,,,Dr. Odin
Mobile Computing,,,,Robobull
Mobile Computing,,,,Ambrane
Mobile Computing,,,,Wonderchef
Mobile Computing,,,,Premier
Phones Mobile,,,,Amazfit
TV LCD,,,,DIZO
Mobile Computing,,,,Esse
Tablets & Detachables,,,,AKG
Mobile Computing,,,,DJI
Mobile Computing,,,,Onikuma
Desktops,,,,Redmi
Smart Phones (OS Based),,,,Voltmi
Gaming Laptops,,,,Canon
Monitors,,,,SJCAM
Monitors,,,,Nikon
Monitors,,,,Maxima
Monitors,,,,Vivo
Tablets & Detachables,,,,Hitachi-TV
Gaming Laptops,,,,Black+Decker
Gaming Laptops,,,,Amkette
Smart Phones (OS Based),,,,Persang
Lifestyle & Wearables,,,,Siemens
Mobile Computing,,,,CROSSBEATS
Smart Phones (OS Based),,,,Madcatz
Smart Phones (OS Based),,,,Treeview
Tablets & Detachables,,,,Digitek
Tablets & Detachables,,,,Fossil
PC Accessories,,,,CNS
Lifestyle & Wearables,,,,LUMIFORD
Lifestyle & Wearables,,,,Oakter
Lifestyle & Wearables,,,,Beurer
Phones Mobile,,,,Sky Bags
Smart Phones (OS Based),,,,Kingston
Smart Phones (OS Based),,,,Itel
Smart Phones (OS Based),,,,Skywater
Lifestyle & Wearables,,,,Ultraprolink
Mobile Computing,,,,WD
DSLR Cameras,,,,Manfrotto
Lifestyle & Wearables,,,,HyperX
Digital Cameras,,,,Macmerise
Lifestyle & Wearables,,,,Netgear
Lifestyle & Wearables,,,,Marshall
Desktops,,,,NOVOO
Lifestyle & Wearables,,,,Nextech
Digital Cameras,,,,Edifier
Digital Cameras,,,,Belkin
Tablets & Detachables,,,,Fastrack
Mobile Computing,,,,Skullcandy
TV LCD,,,,Circle
Desktops,,,,Jays
Lifestyle & Wearables,,,,Moza
TV LCD,,,,Flashgard
Gaming Laptops,,,,arrow
Refurbished Phones,,,,Juvo
TV LCD,,,,Envie
Lifestyle & Wearables,,,,APC
Smart Phones (OS Based),,,,Tenda
Tablets & Detachables,,,,PALO
Mobile Computing,,,,XP-Pen
Desktops,,,,Easyfone
TV LCD,,,,itek
Gaming Laptops,,,,MERCUSYS
Smart Phones (OS Based),,,,Go Pro
Smart Phones (OS Based),,,,Elgi
Smart Phones (OS Based),,,,Google
Smart Phones (OS Based),,,,Urban Ears
Smart Phones (OS Based),,,,Blaupunkt
Smart Phones (OS Based),,,,Ecovacs
Smart Phones (OS Based),,,,Wings
Smart Phones (OS Based),,,,Dyson
Smart Phones (OS Based),,,,Arctic Fox
Smart Phones (OS Based),,,,Hama
Lifestyle & Wearables,,,,Insta360
Tablets & Detachables,,,,Nedis
Monitors,,,,Soundrevo
TV LCD,,,,REALME
,,,,Qubo
Health & Personal Care,,,,Geek Circle
Air Purifier,,,,Gripp
Kitchen Appliances,,,,Pantum
Kitchen Appliances,,,,Microsoft
Fans,,,,Truke
Fans,,,,bobo
Fans,,,,Black & Decker
Cooling & Heating Appliances,,,,Maharaja Whiteline
Cooling & Heating Appliances,,,,KAFF
Cookware,,,,COWAY
Cookware,,,,Kenstar
Kitchen Appliances,,,,Hindware
Cookware,,,,ILIFE
Cookware,,,,Russell Hobbs
Health & Personal Care,,,,Carrier
Health & Personal Care,,,,AMZER
Health & Personal Care,,,,Carriall
Kitchen Appliances,,,,Eaton
Water Purifiers,,,,Midea
Kitchen Appliances,,,,Milagrow
Home Appliances,,,,VEGA
Kitchen Appliances,,,,Toshiba
Kitchen Appliances,,,,Shemaroo
Kitchen Appliances,,,,AT&T
Health & Personal Care,,,,Fuse Chicken
Kitchen Appliances,,,,GOQii
Water Purifiers,,,,Gizmore
Tools,,,,HIFFIN
Home Appliances,,,,SoundLogic
Home Appliances,,,,TIMEX
Ovens & Cookers,,,,Divoom
Ovens & Cookers,,,,Cygnett
Ovens & Cookers,,,,Ditto TV
Power,,,,Deeray
Power,,,,Carlton London
Power,,,,Ideal
Security,,,,Instant Pot
Security,,,,PIGEON
Security,,,,Agni Solar
Security,,,,Aufla
Security,,,,Swiss Eagle
Security,,,,Norton
Security,,,,Case-Mate
Security,,,,Fitbit
Security,,,,WatchOut
Tools,,,,Quick Heal
Health & Personal Care,,,,AirPlus
Health & Personal Care,,,,SYSCOM
Home Appliances,,,,MARC
Dummies,,,,Wahl
Phones Fixed,,,,Motorola
Phones Fixed,,,,ViewSonic
Phones Fixed,,,,Garmin
Phones Fixed,,,,Envent
Home Theatre,,,,CyberPower
Home Theatre,,,,Sabichi
Home Theatre,,,,Ultimate Ears
Home Theatre,,,,Redragon
Home Theatre,,,,Aristocrat
Projectors,,,,Dr. Vaku
Kits/Toys,,,,JLAB
Portable BT Speakers/MP3 Players,,,,Hungama HiLife
Portable BT Speakers/MP3 Players,,,,Carbonado
Portable BT Speakers/MP3 Players,,,,Butterfly
Audio Systems,,,,GODOX
Audio Systems,,,,Xoopar
Audio Systems,,,,BaByliss
Home Theatre,,,,Thrustmaster
Speakers,,,,Stanley
Speakers,,,,Aquasure
Audio Systems,,,,RODE
Audio Systems,,,,Aeropostale
Printers & Office Solutions,,,,SAMSUNG
Printers & Office Solutions,,,,Ant E sports
Printers & Office Solutions,,,,Adonis
Printers & Office Solutions,,,,Marvel
Tablets & Detachables,,,,Treo
DVD/VCD/Content,,,,Fujitsu
DVD/VCD/Content,,,,Vego
DVD/VCD/Content,,,,SINGER
Storage Media,,,,ONEPLUS
Home Appliances,,,,Tyoon
PC Accessories,,,,Mobvoi
PC Accessories,,,,Sekyo
Networking,,,,Goldmedal
Personal Assistant Speaker,,,,Tefal
Ovens & Cookers,,,,Kuvings
Speakers,,,,iFFALCON
Kitchen Appliances,,,,VIVO
Security,,,,Tata Power EZ Home
Audio Systems,,,,Duracell
Audio Systems,,,,Glen
Tools,,,,Polar
Audio Systems,,,,Cisco
PC Accessories,,,,Plantronic
Home Theatre,,,,EUME
Cooling & Heating Appliances,,,,Environics
Water Purifiers,,,,Epson
Home Theatre,,,,Energizer
