Brand,Vendor Code,Vendor Name,Vendor Type,Vendor Address,Vendor City,Vendor State,Vendor Pin,Vendor Email,Vendor Phone
WHIRLPOOL,2000003923,Whirlpool of India Limited Kar,Brand Call-Log,,,,,,
GM,7100000026,Global Marketing ,Brand Call-Log,,,,,,
GODREJ,7100000180,Senior Agency Ltd,Brand Call-Log,,,,,,
KINDLE,7100000261,AMEZON SELLER SERVICE PVT LTD MAH,Brand Call-Log,,,,,,
mccoy,7100000289,Canbara Industries Pvt Ltd ,Brand Call-Log,,,,,,
PREMIER,7100000341,Premier Elmech Systems Pvt,Brand Call-Log,,,,,,
ALTECH,7100000492,TRADE BAZER  HOME TECH ,Brand Call-Log,,,,,,
MILCENT,7100000576,Milcent Appliances Pvt Ltd ,Brand Call-Log,,,,,,
Whirlpool,7100000602,Whirlpool of India Limited Kar,Brand Call-Log,,,,,,
Voltas,7100000610,Voltas Limited Kar,Brand Call-Log,,,,,,
Vision,7100000618,Vision Distributors Pvt  Ltd Kar,Brand Call-Log,,,,,,
Videocon,7100000627,Videocon Industries Limited Kar,Brand Call-Log,,,,,,
V Guard,7100000636,V Guard Industries Limited Kar,Brand Call-Log,,,,,,
Universal,7100000651,Universal Corp Ltd    Kar,Brand Call-Log,,,,,,
Symphony,7100000660,Symphony Limited Kar,Brand Call-Log,,,,,,
Supertron,7100000669,Supertron Electronics PVT LTD Kar,Brand Call-Log,,,,,,
Sony,7100000678,Sony India Private Limited Kar,Brand Call-Log,,,,,,
Sennheiser,7100000684,Sennheiser Electronics I P Ltd Kar,Brand Call-Log,,,,,,
Savex,7100000690,Savex Technologies Pvt Ltd Kar,Brand Call-Log,,,,,,
Samsung,7100000699,Samsung India Electronics PLtd Kar,Brand Call-Log,,,,,,
Samsung,7100000708,Samsung (I) Electronics Pvt Lt Kar,Brand Call-Log,,,,,,
Rx Infotech,7100000716,Rx infotech Private Limited Kar,Brand Call-Log,,,,,,
Redington,7100000733,Redington India Ltd Kar,Brand Call-Log,,,,,,
